Unnamed: 0,CPUname,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS
760,AMD EPYC 7552,CPU,2019-08-07,7.0,200.0,74.0,3800.0,2200.0,TSMC,AMD,,,
761,Intel Core i3-9300,CPU,2019-04-23,14.0,62.0,,,3700.0,Intel,Intel,,,
762,Intel Pentium 4 HT 520,CPU,2004-06-21,90.0,84.0,109.0,125.0,2800.0,Intel,Intel,,,
763,AMD Athlon 64 3500+,CPU,2004-10-14,90.0,67.0,84.0,69.0,2200.0,Unknown,AMD,,,
764,AMD Mobile Athlon 64 3000+,CPU,2004-08-01,130.0,62.0,193.0,106.0,1800.0,Unknown,AMD,,,
765,Intel Core 2 Duo U7500,CPU,2008-02-27,65.0,10.0,111.0,293.0,1073.0,Intel,Intel,,,
766,AMD Phenom X4 9850 (95W),CPU,2008-10-01,65.0,95.0,285.0,450.0,2500.0,Unknown,AMD,,,
767,Intel Pentium 4-M 1.70,CPU,2002-03-04,130.0,30.0,131.0,55.0,1700.0,Intel,Intel,,,
768,AMD Sempron 3200+ EE SFF,CPU,2006-05-23,90.0,35.0,103.0,81.0,1800.0,Unknown,AMD,,,
769,Intel Core i3-2357M,CPU,2011-06-01,32.0,17.0,149.0,624.0,1300.0,Intel,Intel,,,
770,AMD Athlon II X2 270,CPU,2011-07-01,45.0,65.0,117.0,410.0,3400.0,Unknown,AMD,,,
771,Intel Atom D525,CPU,2010-06-21,45.0,13.0,66.0,176.0,1834.0,Intel,Intel,,,
772,AMD EPYC 7702P,CPU,2019-08-07,7.0,200.0,74.0,3800.0,2000.0,TSMC,AMD,,,
773,Intel Pentium G3220T,CPU,2013-09-01,22.0,35.0,177.0,1400.0,2600.0,Intel,Intel,,,
774,Intel Core i7-4930K,CPU,2013-09-01,22.0,130.0,257.0,1860.0,3400.0,Intel,Intel,,,
775,AMD Athlon XP-M 2200+,CPU,2002-11-11,130.0,45.0,101.0,63.0,1800.0,Unknown,AMD,,,
776,AMD Opteron 146,CPU,2003-09-09,130.0,89.0,193.0,106.0,2000.0,Unknown,AMD,,,
777,Intel Xeon E5507,CPU,2010-03-16,45.0,80.0,263.0,731.0,2266.0,Intel,Intel,,,
778,AMD Turion 64 ML-42,CPU,2005-10-04,90.0,35.0,125.0,114.0,2400.0,Unknown,AMD,,,
779,AMD Ryzen 3 1300,CPU,2017-04-11,14.0,65.0,192.0,4800.0,3200.0,GF,AMD,,,
780,Intel Core i3-5010U,CPU,2015-03-01,14.0,15.0,,,2100.0,Intel,Intel,,,
781,Intel Celeron G1840,CPU,2014-05-01,22.0,54.0,177.0,1400.0,2800.0,Intel,Intel,,,
