GPUname,GPUname.1
intel hd graphics 530 mobile,nvidia tesla p100 pcie 12 gb
intel hd graphics 5300 mobile,nvidia geforce gtx 950a
intel hd graphics 515 mobile,amd radeon r2 mobile graphics
intel hd graphics 5000 mobile,amd radeon 540x mobile
intel hd graphics 510 mobile,nvidia geforce go 7800
intel hd graphics 4400 mobile,matrox millennium g450 x2 mms
intel hd graphics 5500 mobile,amd radeon r8 m365dx
intel hd graphics 4600 mobile,amd radeon r9 380 oem
intel hd graphics 520 mobile,nvidia ion le
intel hd graphics 4000 mobile,amd playstation 4 slim gpu
intel hd graphics 2000 mobile,nvidia geforce 6800 gto
intel hd graphics 2500 mobile,amd radeon hd 6870 1600sp edition
intel hd graphics 4200 mobile,nvidia quadro plex 1000 model iv
hd pentium p6200,nvidia grid k100
hd i7 5700eq,ati radeon igp 340
hd pentium p6100,ati mobility firegl v5600
hd i7 5600u,nvidia geforce gts 450 oem
hd i7 5650u,nvidia a100 sxm4 80 gb
hd i7 5550u,ati mobility radeon hd 4330
hd i7 3920xm,amd radeon rx 640 mobile
hd i7 5500u,sony playstation portable gpu 65nm
hd i7 3840qm,nvidia quadro fx 350m
intel hd graphics 3000 mobile,nvidia geforce 6800 xt
hd i7 5557u,nvidia geforce 9300 gs
hd i7 3720qm,amd radeon r9 m295x
hd i7 3630qm,nvidia quadro rtx 3000 mobile refresh
hd i7 2920xm,nvidia tesla c2070
hd i7 3610qm,ati all-in-wonder hd 3650
hd i7 2820qm,amd radeon hd 7990
hd i7 2860qm,nvidia quadro rtx 6000 passive
hd i7 2670qm,amd radeon rx 560 mobile
hd i7 2630qm,ati es1000
hd i7 2640m,ati mobility radeon hd 5770
hd i7 2720qm,intel xe arctic sound
hd i7 2675qm,nvidia quadro rtx 5000
hd i7 3820qm,nvidia geforce 830a
hd i7 2760qm,nvidia geforce gtx 1060 3 gb
hd i7 2620m,ati radeon x1550 pci
intel gma 5700m hd,ati radeon hd 5870 mac edition
intel gma 4500m hd,nvidia geforce 920mx
intel gma 3650,nvidia quadro k6000
intel 965 express family,nvidia geforce2 mx 200 pci
iris graphics 540 mobile,amd radeon hd 7470a
intel gma 3150,amd radeon r5 310 oem
hd pentium p6000,nvidia geforce 8400 gs pci
intel gma 3600,nvidia geforce gtx titan x
iris graphics 5100 mobile,amd radeon hd 6430m
hd i7 2617m,nvidia geforce 9800 gtx+
intel gma 4500m,nvidia quadro2 mxr
radeon hd 3100,nvidia geforce 310m
mobility radeon hd 3870 x2,nvidia geforce 8600 gts
mobility radeon hd 4870,nvidia geforce gt 220
mobility radeon hd 4870 x2,matrox parhelia hr256
radeon hd 6755g2,amd radeon hd 6490m mac edition
quadro nvs 510m,intel uhd graphics p750
quadro nvs 300m,nvidia geforce 8400m gt
quadro nvs 320m,nvidia geforce gtx 1060 6 gb 9gbps
quadro nvs 160m,amd radeon r7 450 oem
radeon hd 8610g,ati mobility radeon hd 5470
radeon hd 7660g,amd radeon hd 6610m
quadro nvs 150m,nvidia geforce gt 520 oem
radeon hd 8650g,amd radeon r9 m395x mac edition
nvs 5400m,amd radeon pro ssg
geforce4 go 488,nvidia geforce gtx 570m
radeon hd 6380g,ati radeon hd 3730
mobility radeon 7500 64mb,nvidia p106m
geforce 9800m gts,nvidia geforce g105m
geforce 9800m gtx sli,nvidia grid rtx t10-16
geforce 9800m gt sli,nvidia geforce gt 640m
geforce 9800m gts sli,ati radeon hd 4550
geforce 9800m gtx,nvidia geforce gtx 780m
geforce 9800m gs,ati radeon 8500 le
geforce 9700m gt,amd radeon e6760 mxm
geforce 9800m gt,amd firepro w7100
geforce 9650m gs,nvidia geforce 6200
geforce 9700m gts,nvidia quadro k3000m
geforce 9600m gt,nvidia geforce gtx 660m mac edition
geforce 9650m gt,nvidia geforce 9600m gt mac edition
geforce 9500m gs,nvidia geforce gtx 275 physx edition
geforce 9600m gs,amd radeon 520 mobile
geforce 9500m g,nvidia geforce 710m
geforce 9300m gs,amd radeon hd 8950m
geforce 9300m g,ati radeon xpress 1150 mobile igp
geforce 9200m ge,amd radeon r7 m465
geforce 9400m,ati radeon x1600 xt
geforce 9500m,nvidia ion hx
geforce 9100m,amd radeon rx 6600 xt
geforce 9200m gs,nvidia geforce 7500 le
geforce4 go 460,ati mobility radeon 9550
geforce 9400m g,ati radeon hd 3300 igp
geforce4 go 440,amd radeon hd 8730m
quadro fx 880m,nvidia geforce gtx 670mx
geforce4 go 420,amd radeon e8950
quadro fx 770m,amd radeon r4 mobile graphics
geforce4 go 4200,nvidia geforce gtx 1070 ti
quadro fx 3700m,nvidia geforce 6200 le
quadro fx 570m,nvidia nvs 810
quadro fx 380m,amd radeon pro 555x
quadro fx 3800m,nvidia quadro p5200 max-q
quadro fx 360m,nvidia geforce rtx 3050 mobile
quadro fx 3600m,amd radeon r9 370x
quadro fx 2800m,amd radeon vega 3 mobile
quadro fx 350m,amd radeon r7 m265dx
quadro fx 3500m,nvidia quadro fx go700
quadro fx 2500m,amd radeon hd 7950m
quadro fx 1800m,ati mobility radeon hd 5750
quadro fx 1700m,amd radeon vega 8
quadro k610m,nvidia grid k1
quadro fx 1500m,nvidia geforce rtx 3050 max-q
quadro fx 2700m,nvidia geforce g100 oem
